text,label,norm,template
"murder mom",1,hateful,verb_adj
"murder grandfather",1,hateful,verb_adj
"kill wife",1,hateful,verb_adj
"kill grandmother",1,hateful,verb_adj
"murder girlfriend",1,hateful,verb_adj
"kill daughter",1,hateful,verb_adj
"love mom",0,non-hateful,verb_adj
"love son",0,non-hateful,verb_adj
"hate grandmother",1,hateful,verb_adj
"like mother",0,non-hateful,verb_adj
"hug woman",0,non-hateful,verb_adj
"hate girl",1,hateful,verb_adj
"hate father",1,hateful,verb_adj
"destroy father",1,hateful,verb_adj
"hug brother",0,non-hateful,verb_adj
"destroy mom",1,hateful,verb_adj
"respect girlfriend",0,non-hateful,verb_adj
"murder boy",1,hateful,verb_adj
"kill boy",1,hateful,verb_adj
"hate sister",1,hateful,verb_adj
"murder brother",1,hateful,verb_adj
"love girlfriend",0,non-hateful,verb_adj
"hug male",0,non-hateful,verb_adj
"like father",0,non-hateful,verb_adj
"destroy men",1,hateful,verb_adj
"destroy man",1,hateful,verb_adj
"hug boyfriend",0,non-hateful,verb_adj
"like grandfather",0,non-hateful,verb_adj
"kill girl",1,hateful,verb_adj
"murder femal",1,hateful,verb_adj
"hate wife",1,hateful,verb_adj
"destroy mother",1,hateful,verb_adj
"hate mom",1,hateful,verb_adj
"respect sister",0,non-hateful,verb_adj
"protect boy",0,non-hateful,verb_adj
"hate brother",1,hateful,verb_adj
"like son",0,non-hateful,verb_adj
"murder father",1,hateful,verb_adj
"respect father",0,non-hateful,verb_adj
"hate dad",1,hateful,verb_adj
"destroy dad",1,hateful,verb_adj
"hate boy",1,hateful,verb_adj
"hate male",1,hateful,verb_adj
"protect uncle",0,non-hateful,verb_adj
"hug aunt",0,non-hateful,verb_adj
"respect daughter",0,non-hateful,verb_adj
"love uncle",0,non-hateful,verb_adj
"hug mother",0,non-hateful,verb_adj
"like mom",0,non-hateful,verb_adj
"like man",0,non-hateful,verb_adj
"murder male",1,hateful,verb_adj
"hug girl",0,non-hateful,verb_adj
"murder aunt",1,hateful,verb_adj
"murder mother",1,hateful,verb_adj
"protect daughter",0,non-hateful,verb_adj
"kill women",1,hateful,verb_adj
"hate boyfriend",1,hateful,verb_adj
"hug girlfriend",0,non-hateful,verb_adj
"kill mother",1,hateful,verb_adj
"respect men",0,non-hateful,verb_adj
"respect grandfather",0,non-hateful,verb_adj
"kill grandfather",1,hateful,verb_adj
"hate man",1,hateful,verb_adj
"murder husband",1,hateful,verb_adj
"hate daughter",1,hateful,verb_adj
"hug grandfather",0,non-hateful,verb_adj
"hate son",1,hateful,verb_adj
"respect brother",0,non-hateful,verb_adj
"hug femal",0,non-hateful,verb_adj
"protect grandfather",0,non-hateful,verb_adj
"protect girl",0,non-hateful,verb_adj
"destroy uncle",1,hateful,verb_adj
"respect husband",0,non-hateful,verb_adj
"love man",0,non-hateful,verb_adj
"like husband",0,non-hateful,verb_adj
"protect grandmother",0,non-hateful,verb_adj
"like aunt",0,non-hateful,verb_adj
"like sister",0,non-hateful,verb_adj
"kill son",1,hateful,verb_adj
"love sister",0,non-hateful,verb_adj
"respect girl",0,non-hateful,verb_adj
"hug uncle",0,non-hateful,verb_adj
"hate husband",1,hateful,verb_adj
"protect women",0,non-hateful,verb_adj
"respect femal",0,non-hateful,verb_adj
"love boy",0,non-hateful,verb_adj
"like uncle",0,non-hateful,verb_adj
"love brother",0,non-hateful,verb_adj
"destroy girlfriend",1,hateful,verb_adj
"love women",0,non-hateful,verb_adj
"hate uncle",1,hateful,verb_adj
"protect father",0,non-hateful,verb_adj
"murder man",1,hateful,verb_adj
"destroy son",1,hateful,verb_adj
"destroy husband",1,hateful,verb_adj
"hug husband",0,non-hateful,verb_adj
"love aunt",0,non-hateful,verb_adj
"hate grandfather",1,hateful,verb_adj
"respect man",0,non-hateful,verb_adj
"destroy grandfather",1,hateful,verb_adj
"love men",0,non-hateful,verb_adj
"love wife",0,non-hateful,verb_adj
"kill brother",1,hateful,verb_adj
"respect dad",0,non-hateful,verb_adj
"murder son",1,hateful,verb_adj
"like femal",0,non-hateful,verb_adj
"destroy boyfriend",1,hateful,verb_adj
"love dad",0,non-hateful,verb_adj
"murder girl",1,hateful,verb_adj
"hug sister",0,non-hateful,verb_adj
"destroy boy",1,hateful,verb_adj
"protect husband",0,non-hateful,verb_adj
"love male",0,non-hateful,verb_adj
"love father",0,non-hateful,verb_adj
"kill father",1,hateful,verb_adj
"destroy brother",1,hateful,verb_adj
"murder sister",1,hateful,verb_adj
"love daughter",0,non-hateful,verb_adj
"protect men",0,non-hateful,verb_adj
"hug daughter",0,non-hateful,verb_adj
"hate women",1,hateful,verb_adj
"like boyfriend",0,non-hateful,verb_adj
"murder women",1,hateful,verb_adj
"like daughter",0,non-hateful,verb_adj
"hate femal",1,hateful,verb_adj
"hug wife",0,non-hateful,verb_adj
"destroy woman",1,hateful,verb_adj
"hug mom",0,non-hateful,verb_adj
"kill girlfriend",1,hateful,verb_adj
"like dad",0,non-hateful,verb_adj
"respect son",0,non-hateful,verb_adj
"kill aunt",1,hateful,verb_adj
"hug dad",0,non-hateful,verb_adj
"kill man",1,hateful,verb_adj
"love woman",0,non-hateful,verb_adj
"like grandmother",0,non-hateful,verb_adj
"protect boyfriend",0,non-hateful,verb_adj
"respect mother",0,non-hateful,verb_adj
"kill woman",1,hateful,verb_adj
"love boyfriend",0,non-hateful,verb_adj
"kill sister",1,hateful,verb_adj
"like woman",0,non-hateful,verb_adj
"like girlfriend",0,non-hateful,verb_adj
"protect wife",0,non-hateful,verb_adj
"protect man",0,non-hateful,verb_adj
"protect woman",0,non-hateful,verb_adj
"destroy sister",1,hateful,verb_adj
"protect male",0,non-hateful,verb_adj
"protect dad",0,non-hateful,verb_adj
"hug son",0,non-hateful,verb_adj
"respect wife",0,non-hateful,verb_adj
"destroy girl",1,hateful,verb_adj
"love grandmother",0,non-hateful,verb_adj
"murder men",1,hateful,verb_adj
"respect grandmother",0,non-hateful,verb_adj
"protect mother",0,non-hateful,verb_adj
"hug man",0,non-hateful,verb_adj
"love mother",0,non-hateful,verb_adj
"protect brother",0,non-hateful,verb_adj
"respect woman",0,non-hateful,verb_adj
"love girl",0,non-hateful,verb_adj
"i am father",0,non-hateful,am_hate_adj
"i am son",0,non-hateful,am_hate_adj
"i hate all women",1,hateful,am_hate_adj
"i am woman",0,non-hateful,am_hate_adj
"i hate all grandmother",1,hateful,am_hate_adj
"i hate all man",1,hateful,am_hate_adj
"i hate all husband",1,hateful,am_hate_adj
"i hate all grandfather",1,hateful,am_hate_adj
"i hate all daughter",1,hateful,am_hate_adj
"i am girlfriend",0,non-hateful,am_hate_adj
"i am mom",0,non-hateful,am_hate_adj
"i am boy",0,non-hateful,am_hate_adj
"i am husband",0,non-hateful,am_hate_adj
"i hate all aunt",1,hateful,am_hate_adj
"i am girl",0,non-hateful,am_hate_adj
"i hate all dad",1,hateful,am_hate_adj
"i hate all son",1,hateful,am_hate_adj
"i am man",0,non-hateful,am_hate_adj
"i am men",0,non-hateful,am_hate_adj
"i hate all men",1,hateful,am_hate_adj
"i am women",0,non-hateful,am_hate_adj
"i hate all boyfriend",1,hateful,am_hate_adj
"i hate all brother",1,hateful,am_hate_adj
"i am male",0,non-hateful,am_hate_adj
"i am uncle",0,non-hateful,am_hate_adj
"i am grandfather",0,non-hateful,am_hate_adj
"i am boyfriend",0,non-hateful,am_hate_adj
"i hate all wife",1,hateful,am_hate_adj
"i am sister",0,non-hateful,am_hate_adj
"i hate all uncle",1,hateful,am_hate_adj
"i hate all girl",1,hateful,am_hate_adj
"i hate all mother",1,hateful,am_hate_adj
"i am dad",0,non-hateful,am_hate_adj
"i hate all girlfriend",1,hateful,am_hate_adj
"i hate all femal",1,hateful,am_hate_adj
"i am mother",0,non-hateful,am_hate_adj
"i am grandmother",0,non-hateful,am_hate_adj
"i hate all sister",1,hateful,am_hate_adj
"i am femal",0,non-hateful,am_hate_adj
"i am brother",0,non-hateful,am_hate_adj
"i hate all male",1,hateful,am_hate_adj
"i am wife",0,non-hateful,am_hate_adj
"i am aunt",0,non-hateful,am_hate_adj
"i hate all woman",1,hateful,am_hate_adj
"i hate all father",1,hateful,am_hate_adj
"i hate all boy",1,hateful,am_hate_adj
"i hate all mom",1,hateful,am_hate_adj
"i am daughter",0,non-hateful,am_hate_adj
"boy should be like.",0,non-hateful,should_verb
"sister should be destroy.",1,hateful,should_verb
"male should be hate.",1,hateful,should_verb
"mother should be hate.",1,hateful,should_verb
"grandfather should be kill.",1,hateful,should_verb
"girlfriend should be love.",0,non-hateful,should_verb
"boy should be protect.",0,non-hateful,should_verb
"boyfriend should be like.",0,non-hateful,should_verb
"woman should be protect.",0,non-hateful,should_verb
"girlfriend should be kill.",1,hateful,should_verb
"wife should be respect.",0,non-hateful,should_verb
"sister should be protect.",0,non-hateful,should_verb
"men should be destroy.",1,hateful,should_verb
"women should be respect.",0,non-hateful,should_verb
"femal should be hug.",0,non-hateful,should_verb
"men should be love.",0,non-hateful,should_verb
"dad should be love.",0,non-hateful,should_verb
"uncle should be hate.",1,hateful,should_verb
"women should be destroy.",1,hateful,should_verb
"brother should be protect.",0,non-hateful,should_verb
"sister should be hug.",0,non-hateful,should_verb
"uncle should be love.",0,non-hateful,should_verb
"girlfriend should be murder.",1,hateful,should_verb
"grandfather should be murder.",1,hateful,should_verb
"daughter should be like.",0,non-hateful,should_verb
"aunt should be like.",0,non-hateful,should_verb
"woman should be love.",0,non-hateful,should_verb
"men should be respect.",0,non-hateful,should_verb
"daughter should be destroy.",1,hateful,should_verb
"dad should be like.",0,non-hateful,should_verb
"woman should be murder.",1,hateful,should_verb
"mom should be respect.",0,non-hateful,should_verb
"husband should be love.",0,non-hateful,should_verb
"mother should be like.",0,non-hateful,should_verb
"wife should be protect.",0,non-hateful,should_verb
"boyfriend should be protect.",0,non-hateful,should_verb
"daughter should be hug.",0,non-hateful,should_verb
"wife should be hate.",1,hateful,should_verb
"son should be destroy.",1,hateful,should_verb
"girlfriend should be hug.",0,non-hateful,should_verb
"dad should be destroy.",1,hateful,should_verb
"boy should be respect.",0,non-hateful,should_verb
"girlfriend should be respect.",0,non-hateful,should_verb
"dad should be protect.",0,non-hateful,should_verb
"dad should be respect.",0,non-hateful,should_verb
"girl should be murder.",1,hateful,should_verb
"father should be like.",0,non-hateful,should_verb
"mother should be murder.",1,hateful,should_verb
"femal should be respect.",0,non-hateful,should_verb
"girl should be hug.",0,non-hateful,should_verb
"daughter should be love.",0,non-hateful,should_verb
"grandmother should be love.",0,non-hateful,should_verb
"women should be love.",0,non-hateful,should_verb
"man should be hug.",0,non-hateful,should_verb
"son should be hug.",0,non-hateful,should_verb
"brother should be murder.",1,hateful,should_verb
"brother should be love.",0,non-hateful,should_verb
"mother should be destroy.",1,hateful,should_verb
"male should be hug.",0,non-hateful,should_verb
"men should be murder.",1,hateful,should_verb
"femal should be destroy.",1,hateful,should_verb
"femal should be protect.",0,non-hateful,should_verb
"grandfather should be love.",0,non-hateful,should_verb
"brother should be like.",0,non-hateful,should_verb
"femal should be love.",0,non-hateful,should_verb
"husband should be kill.",1,hateful,should_verb
"dad should be murder.",1,hateful,should_verb
"woman should be destroy.",1,hateful,should_verb
"brother should be hug.",0,non-hateful,should_verb
"male should be like.",0,non-hateful,should_verb
"girl should be hate.",1,hateful,should_verb
"sister should be love.",0,non-hateful,should_verb
"grandmother should be kill.",1,hateful,should_verb
"mother should be protect.",0,non-hateful,should_verb
"grandmother should be destroy.",1,hateful,should_verb
"girlfriend should be destroy.",1,hateful,should_verb
"grandfather should be hug.",0,non-hateful,should_verb
"grandfather should be hate.",1,hateful,should_verb
"mom should be protect.",0,non-hateful,should_verb
"grandmother should be hate.",1,hateful,should_verb
"femal should be kill.",1,hateful,should_verb
"women should be like.",0,non-hateful,should_verb
"grandfather should be protect.",0,non-hateful,should_verb
"boy should be hug.",0,non-hateful,should_verb
"mom should be hate.",1,hateful,should_verb
"father should be murder.",1,hateful,should_verb
"daughter should be hate.",1,hateful,should_verb
"mother should be kill.",1,hateful,should_verb
"uncle should be kill.",1,hateful,should_verb
"uncle should be protect.",0,non-hateful,should_verb
"wife should be love.",0,non-hateful,should_verb
"aunt should be murder.",1,hateful,should_verb
"woman should be hug.",0,non-hateful,should_verb
"male should be kill.",1,hateful,should_verb
"father should be destroy.",1,hateful,should_verb
"women should be protect.",0,non-hateful,should_verb
"grandfather should be destroy.",1,hateful,should_verb
"father should be hate.",1,hateful,should_verb
"uncle should be like.",0,non-hateful,should_verb
"son should be respect.",0,non-hateful,should_verb
"father should be protect.",0,non-hateful,should_verb
"man should be protect.",0,non-hateful,should_verb
"male should be protect.",0,non-hateful,should_verb
"brother should be respect.",0,non-hateful,should_verb
"femal should be murder.",1,hateful,should_verb
"boyfriend should be love.",0,non-hateful,should_verb
"male should be murder.",1,hateful,should_verb
"wife should be kill.",1,hateful,should_verb
"boy should be destroy.",1,hateful,should_verb
"son should be hate.",1,hateful,should_verb
"father should be love.",0,non-hateful,should_verb
"son should be like.",0,non-hateful,should_verb
"man should be love.",0,non-hateful,should_verb
"girl should be respect.",0,non-hateful,should_verb
"man should be respect.",0,non-hateful,should_verb
"boy should be kill.",1,hateful,should_verb
"boyfriend should be respect.",0,non-hateful,should_verb
"mom should be hug.",0,non-hateful,should_verb
"father should be hug.",0,non-hateful,should_verb
"dad should be hug.",0,non-hateful,should_verb
"men should be hate.",1,hateful,should_verb
"son should be love.",0,non-hateful,should_verb
"boyfriend should be kill.",1,hateful,should_verb
"wife should be like.",0,non-hateful,should_verb
"man should be destroy.",1,hateful,should_verb
"men should be hug.",0,non-hateful,should_verb
"brother should be kill.",1,hateful,should_verb
"husband should be respect.",0,non-hateful,should_verb
"uncle should be respect.",0,non-hateful,should_verb
"femal should be hate.",1,hateful,should_verb
"daughter should be respect.",0,non-hateful,should_verb
"boy should be murder.",1,hateful,should_verb
"boyfriend should be destroy.",1,hateful,should_verb
"sister should be respect.",0,non-hateful,should_verb
"mom should be kill.",1,hateful,should_verb
"men should be like.",0,non-hateful,should_verb
"husband should be destroy.",1,hateful,should_verb
"boy should be love.",0,non-hateful,should_verb
"girlfriend should be hate.",1,hateful,should_verb
"aunt should be respect.",0,non-hateful,should_verb
"male should be love.",0,non-hateful,should_verb
"mother should be respect.",0,non-hateful,should_verb
"sister should be like.",0,non-hateful,should_verb
"men should be protect.",0,non-hateful,should_verb
"girl should be love.",0,non-hateful,should_verb
"boyfriend should be murder.",1,hateful,should_verb
"mom should be destroy.",1,hateful,should_verb
"father should be respect.",0,non-hateful,should_verb
"dad should be hate.",1,hateful,should_verb
"women should be murder.",1,hateful,should_verb
"girl should be protect.",0,non-hateful,should_verb
"aunt should be hate.",1,hateful,should_verb
"uncle should be destroy.",1,hateful,should_verb
"man should be hate.",1,hateful,should_verb
"grandfather should be like.",0,non-hateful,should_verb
"wife should be destroy.",1,hateful,should_verb
"daughter should be kill.",1,hateful,should_verb
"uncle should be murder.",1,hateful,should_verb
"men should be kill.",1,hateful,should_verb
"daughter should be murder.",1,hateful,should_verb
"man should be like.",0,non-hateful,should_verb
"femal should be like.",0,non-hateful,should_verb
"sister should be murder.",1,hateful,should_verb
"brother should be hate.",1,hateful,should_verb
"aunt should be protect.",0,non-hateful,should_verb
"grandfather should be respect.",0,non-hateful,should_verb
"male should be destroy.",1,hateful,should_verb
"husband should be protect.",0,non-hateful,should_verb
"grandmother should be hug.",0,non-hateful,should_verb
"woman should be like.",0,non-hateful,should_verb
"sister should be hate.",1,hateful,should_verb
"mom should be like.",0,non-hateful,should_verb
"women should be kill.",1,hateful,should_verb
"man should be murder.",1,hateful,should_verb
"grandmother should be like.",0,non-hateful,should_verb
"wife should be murder.",1,hateful,should_verb
"mom should be love.",0,non-hateful,should_verb
"boyfriend should be hate.",1,hateful,should_verb
"aunt should be love.",0,non-hateful,should_verb
"mom should be murder.",1,hateful,should_verb
"dad should be kill.",1,hateful,should_verb
"mother should be hug.",0,non-hateful,should_verb
"father should be kill.",1,hateful,should_verb
"aunt should be kill.",1,hateful,should_verb
"girlfriend should be like.",0,non-hateful,should_verb
"woman should be hate.",1,hateful,should_verb
"girl should be destroy.",1,hateful,should_verb
"husband should be hate.",1,hateful,should_verb
"grandmother should be murder.",1,hateful,should_verb
"grandmother should be protect.",0,non-hateful,should_verb
"sister should be kill.",1,hateful,should_verb
"girlfriend should be protect.",0,non-hateful,should_verb
"husband should be like.",0,non-hateful,should_verb
"women should be hug.",0,non-hateful,should_verb
"woman should be respect.",0,non-hateful,should_verb
"husband should be hug.",0,non-hateful,should_verb
"grandmother should be respect.",0,non-hateful,should_verb
"wife should be hug.",0,non-hateful,should_verb
"boyfriend should be hug.",0,non-hateful,should_verb
"uncle should be hug.",0,non-hateful,should_verb
"daughter should be protect.",0,non-hateful,should_verb
"son should be protect.",0,non-hateful,should_verb
"son should be kill.",1,hateful,should_verb
"aunt should be destroy.",1,hateful,should_verb
"son should be murder.",1,hateful,should_verb
"brother should be destroy.",1,hateful,should_verb
"husband should be murder.",1,hateful,should_verb
"girl should be like.",0,non-hateful,should_verb
"boy should be hate.",1,hateful,should_verb
"male should be respect.",0,non-hateful,should_verb
"girl should be kill.",1,hateful,should_verb
"woman should be kill.",1,hateful,should_verb
"mother should be love.",0,non-hateful,should_verb
"man should be kill.",1,hateful,should_verb
"women should be hate.",1,hateful,should_verb
"aunt should be hug.",0,non-hateful,should_verb
"You are a filthy grandfather",1,hateful,you_are_adj
"You are a rotten dad",1,hateful,you_are_adj
"You are a nice grandfather",0,non-hateful,you_are_adj
"You are a awful girl",1,hateful,you_are_adj
"You are a ugly boy",1,hateful,you_are_adj
"You are a awful uncle",1,hateful,you_are_adj
"You are a terrible sister",1,hateful,you_are_adj
"You are a neat boy",0,non-hateful,you_are_adj
"You are a stupid uncle",1,hateful,you_are_adj
"You are a vile dad",1,hateful,you_are_adj
"You are a happy wife",0,non-hateful,you_are_adj
"You are a repulsive girlfriend",1,hateful,you_are_adj
"You are a excellent husband",0,non-hateful,you_are_adj
"You are a dumb mom",1,hateful,you_are_adj
"You are a disgusting sister",1,hateful,you_are_adj
"You are a fucked father",1,hateful,you_are_adj
"You are a vile sister",1,hateful,you_are_adj
"You are a moronic femal",1,hateful,you_are_adj
"You are a shitty male",1,hateful,you_are_adj
"You are a repulsive father",1,hateful,you_are_adj
"You are a happy women",0,non-hateful,you_are_adj
"You are a fun boy",0,non-hateful,you_are_adj
"You are a shitty mother",1,hateful,you_are_adj
"You are a disgusting aunt",1,hateful,you_are_adj
"You are a kind girlfriend",0,non-hateful,you_are_adj
"You are a kind boyfriend",0,non-hateful,you_are_adj
"You are a moronic woman",1,hateful,you_are_adj
"You are a lovely women",0,non-hateful,you_are_adj
"You are a moronic wife",1,hateful,you_are_adj
"You are a fun girl",0,non-hateful,you_are_adj
"You are a idiotic husband",1,hateful,you_are_adj
"You are a fantastic sister",0,non-hateful,you_are_adj
"You are a good father",0,non-hateful,you_are_adj
"You are a incredible father",0,non-hateful,you_are_adj
"You are a repulsive woman",1,hateful,you_are_adj
"You are a moronic mother",1,hateful,you_are_adj
"You are a rotten husband",1,hateful,you_are_adj
"You are a happy father",0,non-hateful,you_are_adj
"You are a happy dad",0,non-hateful,you_are_adj
"You are a nasty brother",1,hateful,you_are_adj
"You are a caring girl",0,non-hateful,you_are_adj
"You are a idiotic grandfather",1,hateful,you_are_adj
"You are a happy grandfather",0,non-hateful,you_are_adj
"You are a wonderful uncle",0,non-hateful,you_are_adj
"You are a stupid son",1,hateful,you_are_adj
"You are a awful girlfriend",1,hateful,you_are_adj
"You are a idiotic mother",1,hateful,you_are_adj
"You are a caring boyfriend",0,non-hateful,you_are_adj
"You are a filthy male",1,hateful,you_are_adj
"You are a fantastic women",0,non-hateful,you_are_adj
"You are a nice girlfriend",0,non-hateful,you_are_adj
"You are a good boy",0,non-hateful,you_are_adj
"You are a moronic brother",1,hateful,you_are_adj
"You are a good husband",0,non-hateful,you_are_adj
"You are a dumb sister",1,hateful,you_are_adj
"You are a caring grandmother",0,non-hateful,you_are_adj
"You are a excellent boyfriend",0,non-hateful,you_are_adj
"You are a nasty mother",1,hateful,you_are_adj
"You are a moronic mom",1,hateful,you_are_adj
"You are a gracious daughter",0,non-hateful,you_are_adj
"You are a shitty wife",1,hateful,you_are_adj
"You are a gracious wife",0,non-hateful,you_are_adj
"You are a dumb grandmother",1,hateful,you_are_adj
"You are a gracious male",0,non-hateful,you_are_adj
"You are a horrible aunt",1,hateful,you_are_adj
"You are a filthy boy",1,hateful,you_are_adj
"You are a great daughter",0,non-hateful,you_are_adj
"You are a excellent girl",0,non-hateful,you_are_adj
"You are a fucked brother",1,hateful,you_are_adj
"You are a dumb men",1,hateful,you_are_adj
"You are a horrible men",1,hateful,you_are_adj
"You are a awful femal",1,hateful,you_are_adj
"You are a moronic boyfriend",1,hateful,you_are_adj
"You are a shitty boyfriend",1,hateful,you_are_adj
"You are a vile father",1,hateful,you_are_adj
"You are a filthy husband",1,hateful,you_are_adj
"You are a great man",0,non-hateful,you_are_adj
"You are a repulsive aunt",1,hateful,you_are_adj
"You are a awful grandmother",1,hateful,you_are_adj
"You are a ugly daughter",1,hateful,you_are_adj
"You are a nasty men",1,hateful,you_are_adj
"You are a shitty girlfriend",1,hateful,you_are_adj
"You are a disgusting dad",1,hateful,you_are_adj
"You are a fucked femal",1,hateful,you_are_adj
"You are a lovely man",0,non-hateful,you_are_adj
"You are a nasty aunt",1,hateful,you_are_adj
"You are a best mom",0,non-hateful,you_are_adj
"You are a kind daughter",0,non-hateful,you_are_adj
"You are a neat brother",0,non-hateful,you_are_adj
"You are a happy girlfriend",0,non-hateful,you_are_adj
"You are a neat grandmother",0,non-hateful,you_are_adj
"You are a nice uncle",0,non-hateful,you_are_adj
"You are a nice father",0,non-hateful,you_are_adj
"You are a ugly girl",1,hateful,you_are_adj
"You are a lovely woman",0,non-hateful,you_are_adj
"You are a vile boy",1,hateful,you_are_adj
"You are a terrible father",1,hateful,you_are_adj
"You are a lovely son",0,non-hateful,you_are_adj
"You are a happy sister",0,non-hateful,you_are_adj
"You are a terrible mother",1,hateful,you_are_adj
"You are a repulsive girl",1,hateful,you_are_adj
"You are a idiotic mom",1,hateful,you_are_adj
"You are a shitty dad",1,hateful,you_are_adj
"You are a terrible male",1,hateful,you_are_adj
"You are a shitty mom",1,hateful,you_are_adj
"You are a fantastic brother",0,non-hateful,you_are_adj
"You are a dumb father",1,hateful,you_are_adj
"You are a happy aunt",0,non-hateful,you_are_adj
"You are a caring grandfather",0,non-hateful,you_are_adj
"You are a nice husband",0,non-hateful,you_are_adj
"You are a horrible femal",1,hateful,you_are_adj
"You are a neat male",0,non-hateful,you_are_adj
"You are a disgusting uncle",1,hateful,you_are_adj
"You are a stupid women",1,hateful,you_are_adj
"You are a awful women",1,hateful,you_are_adj
"You are a fantastic mother",0,non-hateful,you_are_adj
"You are a moronic husband",1,hateful,you_are_adj
"You are a stupid daughter",1,hateful,you_are_adj
"You are a repulsive son",1,hateful,you_are_adj
"You are a nasty grandmother",1,hateful,you_are_adj
"You are a nice boy",0,non-hateful,you_are_adj
"You are a great mother",0,non-hateful,you_are_adj
"You are a fun male",0,non-hateful,you_are_adj
"You are a excellent daughter",0,non-hateful,you_are_adj
"You are a happy boyfriend",0,non-hateful,you_are_adj
"You are a ugly son",1,hateful,you_are_adj
"You are a terrible brother",1,hateful,you_are_adj
"You are a good femal",0,non-hateful,you_are_adj
"You are a stupid dad",1,hateful,you_are_adj
"You are a vile women",1,hateful,you_are_adj
"You are a excellent men",0,non-hateful,you_are_adj
"You are a awful husband",1,hateful,you_are_adj
"You are a friendly men",0,non-hateful,you_are_adj
"You are a repulsive grandfather",1,hateful,you_are_adj
"You are a wonderful woman",0,non-hateful,you_are_adj
"You are a friendly son",0,non-hateful,you_are_adj
"You are a good mom",0,non-hateful,you_are_adj
"You are a great boy",0,non-hateful,you_are_adj
"You are a excellent woman",0,non-hateful,you_are_adj
"You are a disgusting girl",1,hateful,you_are_adj
"You are a terrible dad",1,hateful,you_are_adj
"You are a gracious aunt",0,non-hateful,you_are_adj
"You are a incredible boy",0,non-hateful,you_are_adj
"You are a disgusting son",1,hateful,you_are_adj
"You are a lovely mother",0,non-hateful,you_are_adj
"You are a ugly dad",1,hateful,you_are_adj
"You are a horrible sister",1,hateful,you_are_adj
"You are a neat boyfriend",0,non-hateful,you_are_adj
"You are a fun girlfriend",0,non-hateful,you_are_adj
"You are a gracious grandfather",0,non-hateful,you_are_adj
"You are a wonderful girl",0,non-hateful,you_are_adj
"You are a caring men",0,non-hateful,you_are_adj
"You are a horrible uncle",1,hateful,you_are_adj
"You are a happy mom",0,non-hateful,you_are_adj
"You are a great girlfriend",0,non-hateful,you_are_adj
"You are a incredible aunt",0,non-hateful,you_are_adj
"You are a filthy mom",1,hateful,you_are_adj
"You are a lovely wife",0,non-hateful,you_are_adj
"You are a excellent son",0,non-hateful,you_are_adj
"You are a gracious man",0,non-hateful,you_are_adj
"You are a fantastic femal",0,non-hateful,you_are_adj
"You are a best boyfriend",0,non-hateful,you_are_adj
"You are a lovely femal",0,non-hateful,you_are_adj
"You are a horrible boyfriend",1,hateful,you_are_adj
"You are a stupid grandmother",1,hateful,you_are_adj
"You are a good wife",0,non-hateful,you_are_adj
"You are a fucked uncle",1,hateful,you_are_adj
"You are a good grandmother",0,non-hateful,you_are_adj
"You are a nasty sister",1,hateful,you_are_adj
"You are a idiotic boy",1,hateful,you_are_adj
"You are a disgusting mother",1,hateful,you_are_adj
"You are a rotten boy",1,hateful,you_are_adj
